ticket_id,model_id,version,risk_tier,approver,emergency,opened_at,approved_at,description,record_status,evidence_basis
WB-133,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-18,,Watcher source health hardening,historical_reconstructed,repository evidence; approval metadata not present
WB-134,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-18,,Watcher release readiness,historical_reconstructed,repository evidence; approval metadata not present
WB-135,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-18,,Official regulatory indexes,historical_reconstructed,repository evidence; approval metadata not present
WB-136,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-18,,Asia bilingual Watcher,historical_reconstructed,repository evidence; approval metadata not present
WB-137,readiness-assessor,v0.3.1,high,NOT_RECORDED,FALSE,2026-09-20,,Fail-closed maturity and operator workflow upgrade,implementation_pending_approval,automated tests and release validation
WB-138,readiness-assessor,v0.3.1,high,NOT_RECORDED,FALSE,2026-09-20,,Synthetic M3.6 evidence regeneration and governed dossier demonstration,implementation_pending_approval,frozen experiment cases; synthetic validation report
WB-139,readiness-assessor,v0.3.1,high,NOT_RECORDED,FALSE,2026-09-20,,Broader risk review and asset reconciliation,implementation_pending_approval,repository implementation; verification report; no release approval recorded
WB-140,readiness-assessor,v0.3.1,high,NOT_RECORDED,FALSE,2026-09-20,,Signed bounded investigation contract,implementation_pending_approval,repository implementation; verification report; no release approval recorded
WB-141,readiness-assessor,v0.3.1,high,NOT_RECORDED,FALSE,2026-09-20,,Operational entry point and control-specific procedures; production verification blocked,implementation_pending_approval,repository implementation; verification report; no release approval recorded
WB-142,readiness-assessor,v0.3.1,high,NOT_RECORDED,FALSE,2026-09-20,,Dependency investigation catalogue; operator console; evaluation design,implementation_pending_approval,software verification only; no live judgment approval
